Location
"[37.7901855706334, -122.395471725809]"
"[37.7579170566901, -122.39547585249]"
"[37.7226292175983, -122.390061846327]"
"[37.7270866339514, -122.381074448749]"
"[37.7923898619832, -122.401269695236]"
"[37.7760987531573, -122.400287239868]"
"[37.7569236537341, -122.393549610536]"
"[37.7477720916075, -122.397031718978]"
"[37.7377268665958, -122.376572914573]"
"[37.792363514411, -122.396434007976]"
"[37.7606817687521, -122.435257895808]"
"[37.7931486269835, -122.402567175578]"
"[37.7758255197583, -122.417249626643]"
"[37.7808684365681, -122.425467726618]"
"[37.7943310032468, -122.395811053023]"
"[37.7267082729622, -122.3836249172]"
"[37.744889286143, -122.390971976935]"
"[37.7504641155225, -122.387908325902]"
"[37.7108412835853, -122.399642614963]"
"[37.767797843619, -122.412096318861]"
"[37.7669767564703, -122.403123093929]"
"[37.7430142496315, -122.384460244935]"
"[37.7677340926708, -122.410152601942]"
"[37.7277444907011, -122.382107375242]"
"[37.7516910357229, -122.394374213263]"
"[37.7685570713121, -122.409610236298]"
"[37.7849902793065, -122.405676629072]"
"[37.7781481274607, -122.394440688559]"
"[37.7878896999061, -122.400535326777]"
"[37.7891192076677, -122.395881039335]"
"[37.7851109204478, -122.407422668277]"
"[37.7758255197583, -122.417249626643]"
"[37.7961233802521, -122.397273204338]"
"[37.7723639147673, -122.397040970363]"
"[37.7818671175741, -122.429885247603]"
"[37.7271654734939, -122.401093930725]"
"[37.7992601135023, -122.399617948655]"
"[37.7447521916164, -122.385679248721]"
"[37.788440109524, -122.405607286668]"
"[37.7932622069231, -122.401789091363]"
"[37.7782665766946, -122.398835922445]"
"[37.7831711043434, -122.392901049479]"
"[37.7908384194517, -122.401160370299]"
"[37.7484453388377, -122.38687903198]"
"[37.7770972708968, -122.415102651361]"
"[37.7302216813049, -122.402978526686]"
"[37.7492558595291, -122.390975379577]"
"[37.789811597719, -122.401342389334]"
"[37.7740770135744, -122.392327588686]"
"[37.7438311721327, -122.377797368962]"
"[37.7257891398124, -122.378972719624]"
"[37.7303742378628, -122.381861878657]"
"[37.7701375805015, -122.415983402804]"
"[37.7267339112416, -122.378972005236]"
"[37.7570155244597, -122.394062947116]"
"[37.7392448256155, -122.399352876437]"
"[37.7502368847791, -122.397818031719]"
"[37.7936813457741, -122.442002100568]"
"[37.7271104333828, -122.388261288144]"
"[37.7516084135789, -122.390309489501]"
"[37.7331423951426, -122.414568632419]"
